label,text,speaker
IDEA_FIGHT_ItemName,Concealed Will,UI
IDEA_FIGHT_ItemExp,The concept of drawing out hidden capabilities.,UI
IDEA_WILD_ItemName,Feral Ambush,UI
IDEA_WILD_ItemExp,The concept of striking when the time is right.,UI
IDEA_FANTASY_ItemName,Truth In Fantasy,UI
IDEA_FANTASY_ItemExp,The concept of discerning weaknesses.,UI
IDEA_CHAOS_ItemName,Chaotic Animosity,UI
IDEA_CHAOS_ItemExp,The concept of inspiring hatred.,UI
IDEA_MODAN_ItemName,Clockwork Society,UI
IDEA_MODAN_ItemExp,The concept of seeking ever-greater precision.,UI
IDEA_NOSTALGY_ItemName,Interpersonal Relationships,UI
IDEA_NOSTALGY_ItemExp,The concept of understanding others.,UI
IDEA_SCIENCE_ItemName,Scientific Analysis,UI
IDEA_SCIENCE_ItemExp,The concept of comprehending advanced mechanisms.,UI
IDEA_MAGIC_ItemName,Magical Esoterica,UI
IDEA_MAGIC_ItemExp,The concept of being acquainted with the more profound aspects of spells.,UI
IDEA_GALE_ItemName,Gale's Quickening,UI
IDEA_GALE_ItemExp,The concept of moving swift as a raging wind.,UI
IDEA_FIRE_ItemName,Fireweaving,UI
IDEA_FIRE_ItemExp,The concept of familiarity with natural laws related to the genesis of fire.,UI
IDEA_ICE_ItemName,Frost's Omen,UI
IDEA_ICE_ItemExp,The concept of being able to perceive advance signs of a cold front.,UI
IDEA_LIGHTNING_ItemName,Crackling Brilliance,UI
IDEA_LIGHTNING_ItemExp,The concept that underlies the embodiment of lightning.,UI
IDEA_BOMB_ItemName,Dynamite Intuition,UI
IDEA_BOMB_ItemExp,The concept of ascertaining the most vital aspects of explosives.,UI
IDEA_DEDICATION_ItemName,Crisis Management,UI
IDEA_DEDICATION_ItemExp,The concept of putting oneself in danger to aid others in combat.,UI
IDEA_IDEAL_ItemName,Visual Learning,UI
IDEA_IDEAL_ItemExp,The concept of envisioning the ideal way for a battle to unfold.,UI
IDEA_GENIUS_ItemName,Creative Genius,UI
IDEA_GENIUS_ItemExp,The concept of leveraging prodigious ideas to act more efficiently.,UI
IDEA_HONOR_ItemName,Virtuous Honor,UI
IDEA_HONOR_ItemExp,The concept of possessing a righteous will.,UI
IDEA_GUARD_ItemName,Protective Shield,UI
IDEA_GUARD_ItemExp,The concept of guarding oneself to increase the chances of survival.,UI
IDEA_TRADITION_ItemName,Unwritten Traditions,UI
IDEA_TRADITION_ItemExp,The concept of unraveling knowledge and guiding with a steadfast hand.,UI
IDEA_FREE_ItemName,Free Spirit,UI
IDEA_FREE_ItemExp,The concept of discarding shackles and living as one pleases.,UI
IDEA_DICIPLINE_ItemName,Discipline's Covenant,UI
IDEA_DICIPLINE_ItemExp,The concept of resisting temptation in the pursuit of challenging limits.,UI
IDEA_GLITTER_ItemName,Piercing Glow,UI
IDEA_GLITTER_ItemExp,The concept of purging evil by bringing light to the dark.,UI
IDEA_OBEDIENCE_ItemName,Obedient Wisdom,UI
IDEA_OBEDIENCE_ItemExp,The concept of avoiding danger and overcoming hardship.,UI
IDEA_VITALITY_ItemName,Existential Vitality,UI
IDEA_VITALITY_ItemExp,The concept of toughening one's body through frequent action.,UI
IDEA_HARMONY_ItemName,Regulated Accord,UI
IDEA_HARMONY_ItemExp,The concept of being conciliatory with others and valuing harmony.,UI
IDEA_ORDER_ItemName,Unquestionable Order,UI
IDEA_ORDER_ItemExp,The concept of dedicating one's whole being to destiny and doing what must be done.,UI
IDEA_AMBITION_ItemName,Lofty Desire,UI
IDEA_AMBITION_ItemExp,The concept of possessing ambition great enough to turn any tide.,UI
IDEA_SILENCE_ItemName,Silent Isolation,UI
IDEA_SILENCE_ItemExp,The concept of embracing solitude and silence.,UI
IDEA_UPHEABAL_ItemName,Tumult's End,UI
IDEA_UPHEABAL_ItemExp,The concept of utilizing a time of upheaval to break a deadlock.,UI
IDEA_AUTHORITY_ItemName,Ostentatious Authority,UI
IDEA_AUTHORITY_ItemExp,The concept of demonstrating one's dignity by overcoming a disadvantageous situation.,UI
IDEA_REINCARNATION_ItemName,Transcendent Transmigration,UI
IDEA_REINCARNATION_ItemExp,The concept of overcoming death through reincarnation.,UI
IDEA_PRIDE_ItemName,Sinful Pride,UI
IDEA_PRIDE_ItemExp,The concept of the sin that is pride.,UI
IDEA_GREED_ItemName,Sinful Greed,UI
IDEA_GREED_ItemExp,The concept of the sin that is greed.,UI
IDEA_LUST_ItemName,Sinful Lust,UI
IDEA_LUST_ItemExp,The concept of the sin that is lust.,UI
IDEA_SLOTH_ItemName,Sinful Sloth,UI
IDEA_SLOTH_ItemExp,The concept of the sin that is sloth.,UI
IDEA_WRATH_ItemName,Sinful Wrath,UI
IDEA_WRATH_ItemExp,The concept of the sin that is wrath.,UI
IDEA_GLUTTONY_ItemName,Sinful Gluttony,UI
IDEA_GLUTTONY_ItemExp,The concept of the sin that is gluttony.,UI
IDEA_ENVY_ItemName,Sinful Envy,UI
IDEA_ENVY_ItemExp,The concept of the sin that is envy.,UI
