label, speaker, text
W14_LTXT_COMM_CHAIR_000_TITLE, UI, Mysterious Chair
W14_LTXT_COMM_CHAIR_000_DETAIL, UI, This chair looks out of place.
W14_EVAR_COMM_CHAIR_000_TITLE, UI, The Chair of Beginnings
W14_EVAR_COMM_CHAIR_000_DETAIL, UI, This chair is clearly out of place, but perhaps you should try sitting on it regardless.
W14_EVAR_COMM_CHAIR_000_BUTTON, UI, Sit on the Chair
W14_SCAN_COMM_SCAN_000_TITLE, UI, Guided to the Chair
W14_SCAN_COMM_SCAN_000_DETAIL, UI, The wave is guiding you to a chair.
W14_EVAR_COMM_VISION_VILLAGER_000_TITLE, UI, Hurrying to a Village
W14_EVAR_COMM_VISION_VILLAGER_000_DETAIL, UI, You see a man hurrying to a village.
W14_EVAR_COMM_VISION_VILLAGER_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_VILLAGER2_000_TITLE, UI, Hurrying Back to the Village
W14_EVAR_COMM_VISION_VILLAGER2_000_DETAIL, UI, You see a man hurrying to a village a second time.
W14_EVAR_COMM_VISION_VILLAGER2_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_BOMB_000_TITLE, UI, Finder of the Bomb
W14_EVAR_COMM_VISION_BOMB_000_DETAIL, UI, You see a man who found a bomb.
W14_EVAR_COMM_VISION_BOMB_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_CAT_000_TITLE, UI, Cat Seeker
W14_EVAR_COMM_VISION_CAT_000_DETAIL, UI, You see a woman looking for a cat.
W14_EVAR_COMM_VISION_CAT_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_BEAST_000_TITLE, UI, The Wanderer
W14_EVAR_COMM_VISION_BEAST_000_DETAIL, UI, You see a man looking for a large animal.
W14_EVAR_COMM_VISION_BEAST_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_TREASURE_000_TITLE, UI, Entering a Cave
W14_EVAR_COMM_VISION_TREASURE_000_DETAIL, UI, You see a man walking through a cave.
W14_EVAR_COMM_VISION_TREASURE_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_BIRD_000_TITLE, UI, Bird Counter
W14_EVAR_COMM_VISION_BIRD_000_DETAIL, UI, You see a man counting birds.
W14_EVAR_COMM_VISION_BIRD_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_INTERVAL1ST_000_TITLE, UI, The Observer
W14_EVAR_COMM_VISION_INTERVAL1ST_000_DETAIL, UI, You see someone keeping an eye on you.
W14_EVAR_COMM_VISION_INTERVAL1ST_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_INTERVAL2ND_000_TITLE, UI, The Observer Returns
W14_EVAR_COMM_VISION_INTERVAL2ND_000_DETAIL, UI, You see someone keeping an eye on you.
W14_EVAR_COMM_VISION_INTERVAL2ND_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_HERO_000_TITLE, UI, The Defeated
W14_EVAR_COMM_VISION_HERO_000_DETAIL, UI, You see someone whose face you remember lying defeated on the ground.
W14_EVAR_COMM_VISION_HERO_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_EXIT_000_TITLE, UI, Exit to the Heavens
W14_EVAR_COMM_VISION_EXIT_000_DETAIL, UI, You see the scenery of the Heavens.
W14_EVAR_COMM_VISION_EXIT_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_BIRD2_000_TITLE, UI, Counting More Birds
W14_EVAR_COMM_VISION_BIRD2_000_DETAIL, UI, You see a man continuing to count birds.
W14_EVAR_COMM_VISION_BIRD2_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_DOCTOR_000_TITLE, UI, Activation
W14_EVAR_COMM_VISION_DOCTOR_000_DETAIL, UI, You see a woman trying to activate a robot.
W14_EVAR_COMM_VISION_DOCTOR_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_BLACKSMITH_000_TITLE, UI, Forging a Blade
W14_EVAR_COMM_VISION_BLACKSMITH_000_DETAIL, UI, You see a blacksmith forging a blade.
W14_EVAR_COMM_VISION_BLACKSMITH_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_FISH_000_TITLE, UI, Devoured
W14_EVAR_COMM_VISION_FISH_000_DETAIL, UI, You see a robot that has been swallowed by a fish.
W14_EVAR_COMM_VISION_FISH_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_KIGURUMI_000_TITLE, UI, The Host
W14_EVAR_COMM_VISION_KIGURUMI_000_DETAIL, UI, You see a woman hosting a show.
W14_EVAR_COMM_VISION_KIGURUMI_000_BUTTON, UI, Inspect the Vision
W14_EVAR_COMM_VISION_COOK_000_TITLE, UI, Helping with Cooking
W14_EVAR_COMM_VISION_COOK_000_DETAIL, UI, You see a woman helping out on a cooking program.
W14_EVAR_COMM_VISION_COOK_000_BUTTON, UI, Inspect the Vision
